,call_sign,ID,coef,d/n,max_speed,max_dir,avg_speed,avg_dir,month
27526,14737KABE,ABE2001122318312331,0.07200000000000001,N,120.0,5.0,124.0,5.0,12
27528,14737KABE,ABE2001122318332333,0.07200000000000001,N,122.0,4.0,145.0,6.0,12
27529,14737KABE,ABE2001122318342334,0.07200000000000001,N,124.0,4.0,114.0,4.0,12
27530,14737KABE,ABE2001122318352335,0.071,N,118.0,4.0,118.0,5.0,12
27531,14737KABE,ABE2001122318362336,0.071,N,120.0,5.0,118.0,7.0,12
27532,14737KABE,ABE2001122318372337,0.071,N,124.0,6.0,123.0,7.0,12
27533,14737KABE,ABE2001122318382338,0.071,N,135.0,6.0,141.0,8.0,12
27534,14737KABE,ABE2001122318392339,0.071,N,142.0,6.0,147.0,7.0,12
27536,14737KABE,ABE2001122318412341,0.07200000000000001,N,124.0,5.0,129.0,8.0,12
27537,14737KABE,ABE2001122318422342,0.07200000000000001,N,126.0,5.0,135.0,6.0,12
27538,14737KABE,ABE2001122318432343,0.07200000000000001,N,132.0,5.0,123.0,8.0,12
27539,14737KABE,ABE2001122318442344,0.07200000000000001,N,129.0,6.0,134.0,8.0,12
27540,14737KABE,ABE2001122318452345,0.07200000000000001,N,134.0,7.0,142.0,9.0,12
27541,14737KABE,ABE2001122318462346,0.071,N,142.0,7.0,146.0,8.0,12
27542,14737KABE,ABE2001122318472347,0.07200000000000001,N,138.0,6.0,133.0,6.0,12
27543,14737KABE,ABE2001122318482348,0.07200000000000001,N,133.0,6.0,135.0,7.0,12
27544,14737KABE,ABE2001122318492349,0.071,N,128.0,6.0,128.0,7.0,12
27545,14737KABE,ABE2001122318502350,0.07200000000000001,N,130.0,6.0,143.0,6.0,12
27546,14737KABE,ABE2001122318512351,0.073,N,139.0,5.0,140.0,6.0,12
27547,14737KABE,ABE2001122318522352,0.073,N,140.0,5.0,124.0,6.0,12
27548,14737KABE,ABE2001122318532353,0.073,N,140.0,5.0,147.0,7.0,12
27549,14737KABE,ABE2001122318542354,0.07200000000000001,N,142.0,6.0,141.0,7.0,12
27550,14737KABE,ABE2001122318552355,0.073,N,141.0,5.0,142.0,5.0,12
27551,14737KABE,ABE2001122318562356,0.073,N,135.0,4.0,125.0,5.0,12
27552,14737KABE,ABE2001122318572357,0.073,N,136.0,5.0,140.0,6.0,12
27553,14737KABE,ABE2001122318582358,0.073,N,139.0,5.0,141.0,6.0,12
27554,14737KABE,ABE2001122318592359,0.07400000000000001,N,131.0,5.0,111.0,6.0,12
27555,14737KABE,ABE2001122319000000,0.075,N,121.0,4.0,101.0,5.0,12
27556,14737KABE,ABE2001122319010001,0.07400000000000001,N,114.0,5.0,113.0,6.0,12
27557,14737KABE,ABE2001122319020002,0.075,N,113.0,5.0,124.0,5.0,12
27558,14737KABE,ABE2001122319030003,0.07400000000000001,N,113.0,4.0,109.0,5.0,12
27559,14737KABE,ABE2001122319040004,0.076,N,110.0,4.0,109.0,5.0,12
27563,14737KABE,ABE2001122319080008,0.076,N,112.0,5.0,103.0,7.0,12
27564,14737KABE,ABE2001122319090009,0.075,N,115.0,7.0,135.0,9.0,12
27565,14737KABE,ABE2001122319100010,0.079,N,118.0,7.0,137.0,6.0,12
27566,14737KABE,ABE2001122319110011,0.086,N,130.0,6.0,155.0,7.0,12
27567,14737KABE,ABE2001122319120012,0.086,N,151.0,6.0,168.0,8.0,12
27568,14737KABE,ABE2001122319130013,0.087,N,149.0,7.0,153.0,7.0,12
27569,14737KABE,ABE2001122319140014,0.098,N,133.0,6.0,130.0,7.0,12
27570,14737KABE,ABE2001122319150015,0.10800000000000001,N,123.0,6.0,126.0,6.0,12
27571,14737KABE,ABE2001122319160016,0.113,N,117.0,5.0,108.0,6.0,12
27572,14737KABE,ABE2001122319170017,0.11900000000000001,N,120.0,5.0,131.0,5.0,12
27573,14737KABE,ABE2001122319180018,0.128,N,129.0,5.0,142.0,5.0,12
27574,14737KABE,ABE2001122319190019,0.136,N,132.0,5.0,130.0,5.0,12
27575,14737KABE,ABE2001122319200020,0.145,N,133.0,5.0,130.0,7.0,12
27576,14737KABE,ABE2001122319210021,0.151,N,138.0,6.0,137.0,8.0,12
27577,14737KABE,ABE2001122319220022,0.142,N,146.0,6.0,153.0,6.0,12
27578,14737KABE,ABE2001122319230023,0.15,N,152.0,6.0,155.0,8.0,12
27580,14737KABE,ABE2001122319250025,0.16,N,157.0,8.0,151.0,8.0,12
27581,14737KABE,ABE2001122319260026,0.175,N,152.0,6.0,151.0,7.0,12
27582,14737KABE,ABE2001122319270027,0.18899999999999997,N,145.0,6.0,136.0,7.0,12
27583,14737KABE,ABE2001122319280028,0.193,N,142.0,6.0,149.0,7.0,12
27584,14737KABE,ABE2001122319290029,0.183,N,139.0,6.0,144.0,7.0,12
27585,14737KABE,ABE2001122319300030,0.17800000000000002,N,138.0,5.0,145.0,6.0,12
27586,14737KABE,ABE2001122319310031,0.18899999999999997,N,148.0,5.0,172.0,8.0,12
27587,14737KABE,ABE2001122319320032,0.184,N,154.0,6.0,165.0,8.0,12
27588,14737KABE,ABE2001122319330033,0.18,N,154.0,6.0,163.0,7.0,12
27589,14737KABE,ABE2001122319340034,0.177,N,152.0,5.0,153.0,7.0,12
27590,14737KABE,ABE2001122319350035,0.165,N,141.0,4.0,141.0,4.0,12
27591,14737KABE,ABE2001122319360036,0.158,N,138.0,4.0,131.0,4.0,12
27592,14737KABE,ABE2001122319370037,0.14400000000000002,N,144.0,4.0,137.0,4.0,12
